Category,BG,Subcategory,Group,狀態,銷售單號,銷售項次,月份,開單日期,預交日期,預交年份,預交月份,交期變更,客戶名稱,負責業務,交貨方式,產品分類,品名,幣別,數量,已出數量,未出數,單價,匯率,本國幣別NTD,客戶料號,客戶希交日,Term,出通單號
MIP1,EMC,,Bourns,01已出,AON19A0070,12,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,MIP1608-P series成品,MIP1608P1R0MBP,USD,4000.0,4000.0,0.0,0.023,28.81,2650.52,CVH160808-1R0M,2020-01-02,FCA,SIN2010012
MIP1,EMC,,Bourns,01已出,AON19A0070,13,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,MIP1608-P series成品,MIP1608P2R2MBP,USD,4000.0,4000.0,0.0,0.023,28.81,2650.52,CVH160808-2R2M,2020-01-02,FCA,SIN2010012
MIP1,EMC,,Bourns,01已出,AON19A0070,14,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,MIP1608-P series成品,MIP1608PR47MBP,USD,4000.0,4000.0,0.0,0.023,28.81,2650.52,CVH160808-R47M,2020-01-02,FCA,SIN2010012
WIP2,WIP,,Bourns,01已出,AON19A0070,19,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,WIP2016 P-1 Series成品,WIP201610P-2R2ML,USD,33000.0,33000.0,0.0,0.028,28.81,26620.44,SRP2010-2R2M,2020-01-02,FCA,SIN2010014
WIP2,WIP,,Bourns,01已出,AON19A0070,21,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,WIP2016 P-1 Series成品,WIP201610P-R33ML,USD,90000.0,90000.0,0.0,0.028,28.81,72601.2,SRP2010-R33M,2020-01-02,FCA,SIN2010014
WIP2,WIP,,Bourns,01已出,AON19A0070,22,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,WIP2520 P-1 Series成品,WIP252012P-2R2ML,USD,36000.0,36000.0,0.0,0.018,28.81,18668.88,SRP2512-2R2M,2020-01-02,FCA,SIN2010014
WIP2,WIP,,Bourns,01已出,AON19A0070,23,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,WIP2520 P-1 Series成品,WIPC252012P-1R0ML,USD,12000.0,12000.0,0.0,0.038,28.81,13137.36,SRP2512A-1R0M,2020-01-02,FCA,SIN2010014
WIP2,WIP,,Bourns,01已出,AON19A0070,26,,2019-10-25,2020-01-02,2020,January,2019-11-19,Bourns,鄭里緗,EXPRESS,WIP2520 P-1 Series成品,WIP252012P-R47ML,USD,6000.0,6000.0,0.0,0.018,28.81,3111.48,SRP2512-R47M,2020-01-02,FCA,SIN2010014
MLVS,PC,,WE,01已出,SON1990715,35,,2019-09-30,2020-01-16,2020,January,2019-11-29,WUR,鄭里緗,AIR-FWRD,MLVS1206 AM成品,MLVS1206AM14701F,EUR,4000.0,4000.0,0.0,0.04377,34.49,6038.5092,825 311 40,2020-01-16,FCA,SIN2010306
MLVS,PC,,WE,01已出,SON1990715,36,,2019-09-30,2020-01-02,2020,January,2019-11-29,WUR,鄭里緗,AIR-FWRD,MLVS1206 AM成品,MLVS1206AM35201F,EUR,16000.0,16000.0,0.0,0.04377,34.49,24154.0368,825 413 50,2020-01-02,FCA,SIN2010004
